id,name,brand,category,color,price,currency,gender,image_url,affiliate_url,size_range,style
snitch-bermuda-short,Tailored Bermuda Short,Snitch,bottoms,beige,1699,INR,men,https://images.pexels.com/photos/5480696/pexels-photo-5480696.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Tailored+Bermuda+Short,S|M|L|XL,summer
nobero-supima-tee,Supima Cotton Crew Tee,Nobero,tops,white,799,INR,men,https://images.pexels.com/photos/5480695/pexels-photo-5480695.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Supima+Cotton+Crew+Tee,S|M|L|XL|XXL,basics|casual
nobero-heavy-hoodie,Heavy French Terry Hoodie,Nobero,outerwear,grey,1999,INR,men,https://images.pexels.com/photos/3755706/pexels-photo-3755706.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Heavy+French+Terry+Hoodie,S|M|L|XL|XXL,casual
nobero-jogger-pant,Tapered Jogger,Nobero,bottoms,black,1299,INR,men,https://images.pexels.com/photos/3755707/pexels-photo-3755707.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Tapered+Jogger,S|M|L|XL|XXL,athleisure
nobero-oxford-shirt,Classic Oxford Shirt,Nobero,tops,blue,1499,INR,men,https://images.pexels.com/photos/1926769/pexels-photo-1926769.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Classic+Oxford+Shirt,S|M|L|XL|XXL,smart-casual
nobero-chino-pant,Stretch Chino,Nobero,bottoms,khaki,1599,INR,men,https://images.pexels.com/photos/1926768/pexels-photo-1926768.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Stretch+Chino,S|M|L|XL|XXL,smart-casual
nobero-bomber-jacket,Light Bomber Jacket,Nobero,outerwear,olive,2499,INR,men,https://images.pexels.com/photos/1043474/pexels-photo-1043474.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Light+Bomber+Jacket,S|M|L|XL|XXL,casual
nobero-running-sneaker,Everyday Runner,Nobero,shoes,grey,2499,INR,men,https://images.pexels.com/photos/1043473/pexels-photo-1043473.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Everyday+Runner,S|M|L|XL|XXL,athleisure
nobero-cap-twill,Twill Baseball Cap,Nobero,accessories,black,599,INR,men,https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=1200,https://nobero.com/search?q=Twill+Baseball+Cap,S|M|L|XL|XXL,casual
rarerabbit-merino-sweater,Merino Crew Sweater,Rare Rabbit,tops,camel,4499,INR,men,https://images.pexels.com/photos/1159670/pexels-photo-1159670.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.rareism.com/search?q=Merino+Crew+Sweater,S|M|L|XL,premium|smart-casual
rarerabbit-linen-blazer,Unstructured Linen Blazer,Rare Rabbit,outerwear,sand,6999,INR,men,https://images.pexels.com/photos/794062/pexels-photo-794062.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.rareism.com/search?q=Unstructured+Linen+Blazer,S|M|L|XL,premium
rarerabbit-pleated-trouser,High Rise Pleated Trouser,Rare Rabbit,bottoms,navy,3999,INR,men,https://images.pexels.com/photos/794064/pexels-photo-794064.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.rareism.com/search?q=High+Rise+Pleated+Trouser,S|M|L|XL,premium
rarerabbit-silk-camp-shirt,Silk Camp Collar Shirt,Rare Rabbit,tops,green,5499,INR,men,https://images.pexels.com/photos/934070/pexels-photo-934070.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.rareism.com/search?q=Silk+Camp+Collar+Shirt,S|M|L|XL,premium|summer
rarerabbit-chelsea-boot,Suede Chelsea Boot,Rare Rabbit,shoes,tan,7999,INR,men,https://images.pexels.com/photos/1055691/pexels-photo-1055691.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.rareism.com/search?q=Suede+Chelsea+Boot,S|M|L|XL,premium
rarerabbit-leather-belt,Grained Leather Belt,Rare Rabbit,accessories,brown,2499,INR,men,https://images.pexels.com/photos/1488463/pexels-photo-1488463.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.rareism.com/search?q=Grained+Leather+Belt,S|M|L|XL,premium
urbanic-satin-slip-dress,Satin Slip Midi Dress,Urbanic,dresses,champagne,1899,INR,women,https://images.pexels.com/photos/1488465/pexels-photo-1488465.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Satin+Slip+Midi+Dress,XS|S|M|L|XL,evening|date
urbanic-floral-maxi,Floral Flowy Maxi,Urbanic,dresses,pink,1699,INR,women,https://images.pexels.com/photos/1536619/pexels-photo-1536619.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Floral+Flowy+Maxi,XS|S|M|L|XL,summer|casual
urbanic-linen-co-ord,Linen Co-ord Set,Urbanic,tops,beige,2299,INR,women,https://images.pexels.com/photos/1536616/pexels-photo-1536616.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Linen+Co-ord+Set,XS|S|M|L|XL,summer
urbanic-wide-palazzo,Wide Leg Palazzo,Urbanic,bottoms,black,1499,INR,women,https://images.pexels.com/photos/2065200/pexels-photo-2065200.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Wide+Leg+Palazzo,XS|S|M|L|XL,casual
urbanic-crop-blazer,Crop Tailored Blazer,Urbanic,outerwear,ivory,2499,INR,women,https://images.pexels.com/photos/2065203/pexels-photo-2065203.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Crop+Tailored+Blazer,XS|S|M|L|XL,office
urbanic-strappy-heel,Strappy Block Heel,Urbanic,shoes,nude,1799,INR,women,https://images.pexels.com/photos/2235071/pexels-photo-2235071.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Strappy+Block+Heel,XS|S|M|L|XL,evening
urbanic-mini-shoulder-bag,Mini Shoulder Bag,Urbanic,bags,tan,1299,INR,women,https://images.pexels.com/photos/247204/pexels-photo-247204.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Mini+Shoulder+Bag,XS|S|M|L|XL,casual
urbanic-rib-tank,Ribbed Tank Top,Urbanic,tops,white,699,INR,women,https://images.pexels.com/photos/291762/pexels-photo-291762.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Ribbed+Tank+Top,XS|S|M|L|XL,basics
urbanic-denim-skirt,A-Line Denim Skirt,Urbanic,bottoms,indigo,1399,INR,women,https://images.pexels.com/photos/298863/pexels-photo-298863.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=A-Line+Denim+Skirt,XS|S|M|L|XL,casual
urbanic-wrap-blouse,Wrap Front Blouse,Urbanic,tops,sage,1199,INR,women,https://images.pexels.com/photos/2983464/pexels-photo-2983464.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.urbanic.com/search?q=Wrap+Front+Blouse,XS|S|M|L|XL,office
berrylush-bodycon-rib-dress,Ribbed Bodycon Mini,Berrylush,dresses,burgundy,1599,INR,women,https://images.pexels.com/photos/336372/pexels-photo-336372.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Ribbed+Bodycon+Mini,XS|S|M|L,night-out
berrylush-shirt-dress,Belted Shirt Dress,Berrylush,dresses,white,1799,INR,women,https://images.pexels.com/photos/336320/pexels-photo-336320.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Belted+Shirt+Dress,XS|S|M|L,office|casual
berrylush-puff-sleeve-top,Puff Sleeve Blouse,Berrylush,tops,lilac,999,INR,women,https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Puff+Sleeve+Blouse,XS|S|M|L,casual
berrylush-cargo-skirt,Cargo Midi Skirt,Berrylush,bottoms,olive,1499,INR,women,https://images.pexels.com/photos/428338/pexels-photo-428338.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Cargo+Midi+Skirt,XS|S|M|L,street
berrylush-sherpa-jacket,Sherpa Trucker Jacket,Berrylush,outerwear,cream,2499,INR,women,https://images.pexels.com/photos/432059/pexels-photo-432059.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Sherpa+Trucker+Jacket,XS|S|M|L,casual
berrylush-platform-sandal,Platform Sandal,Berrylush,shoes,black,1699,INR,women,https://images.pexels.com/photos/45982/pexels-photo-45982.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Platform+Sandal,XS|S|M|L,summer
berrylush-tote-canvas,Canvas Shopper Tote,Berrylush,bags,natural,899,INR,women,https://images.pexels.com/photos/4940756/pexels-photo-4940756.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Canvas+Shopper+Tote,XS|S|M|L,casual
berrylush-hoop-earrings,Gold Hoop Earrings,Berrylush,accessories,gold,499,INR,women,https://images.pexels.com/photos/5698851/pexels-photo-5698851.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.berrylush.com/search?q=Gold+Hoop+Earrings,XS|S|M|L,everyday
